ANO_1,ID_REGIAO,REGIAO,ID_MUNICIPIO,MUNICIPIO,ANO,MES,GR_NATUREZA,QT_VITIMAS
2024,3,Interior,291072,Eunapolis,2024,3,HOMICIDIO DOLOSO,2
2024,3,Interior,291080,Feira de Santana,2024,3,HOMICIDIO DOLOSO,30
2023,3,Interior,291080,Feira de Santana,2023,3,HOMICIDIO DOLOSO,33
2023,3,Interior,291080,Feira de Santana,2023,3,ROUBO COM RESULTADO MORTE - (LATROCINIO),1
2024,3,Interior,291080,Feira de Santana,2024,3,HOMICÍDIO DOLOSO COM INDÍCIO DE EXCLUDENTE DE ILICITUDE,2
2024,3,Interior,291080,Feira de Santana,2024,3,ROUBO COM RESULTADO MORTE - (LATROCINIO),1
2024,3,Interior,291080,Feira de Santana,2024,3,LESAO CORPORAL SEGUIDA DE MORTE,1
2024,3,Interior,291080,Feira de Santana,2024,3,FEMINICIDIO,1
2023,3,Interior,291085,Filadelfia,2023,3,HOMICIDIO DOLOSO,1
2024,3,Interior,291085,Filadelfia,2024,3,HOMICIDIO DOLOSO,1
2023,3,Interior,291085,Filadelfia,2023,3,LESAO CORPORAL SEGUIDA DE MORTE,1
2024,3,Interior,291100,Floresta Azul,2024,3,HOMICIDIO DOLOSO,1
2024,3,Interior,291125,Gaviao,2024,3,HOMICIDIO DOLOSO,2
2023,3,Interior,291125,Gaviao,2023,3,HOMICIDIO DOLOSO,1
2024,3,Interior,291140,Gloria,2024,3,HOMICIDIO DOLOSO,1
2024,3,Interior,291150,Gongogi,2024,3,HOMICIDIO DOLOSO,1
2023,3,Interior,291160,Governador Mangabeira,2023,3,HOMICIDIO DOLOSO,2
2023,3,Interior,291180,Guaratinga,2023,3,HOMICIDIO DOLOSO,1
2024,3,Interior,291185,Heliopolis,2024,3,HOMICIDIO DOLOSO,1
2023,3,Interior,291230,Ibicui,2023,3,HOMICIDIO DOLOSO,1
2024,3,Interior,291240,Ibipeba,2024,3,HOMICIDIO DOLOSO,1
2023,3,Interior,291250,Ibipitanga,2023,3,LESAO CORPORAL SEGUIDA DE MORTE,1
2024,3,Interior,291280,Ibirapua,2024,3,HOMICIDIO DOLOSO,1
2024,3,Interior,291320,Ibotirama,2024,3,HOMICIDIO DOLOSO,1
2023,3,Interior,291340,Igapora,2023,3,HOMICIDIO DOLOSO,1
2023,3,Interior,291345,Igrapiuna,2023,3,HOMICIDIO DOLOSO,1
2023,3,Interior,291350,Iguai,2023,3,HOMICIDIO DOLOSO,4
2023,3,Interior,291360,Ilheus,2023,3,LESAO CORPORAL SEGUIDA DE MORTE,1
2023,3,Interior,291360,Ilheus,2023,3,HOMICIDIO DOLOSO,5
